episode,reward,triples_used,loss,entropy,lr
1,0.1702127659574468,5,1.3978056907653809,1.5576008558273315,0.01
2,0.1875,5,1.4930344820022583,1.6091423034667969,0.01
3,0.17777777777777778,5,1.4330573081970215,1.5895901918411255,0.01
4,0.1836734693877551,5,1.48671555519104,1.5841950178146362,0.01
5,0.1956521739130435,5,1.5717581510543823,1.5963478088378906,0.01
6,0.1836734693877551,5,1.4639068841934204,1.6073517799377441,0.01
7,0.1956521739130435,5,1.5610660314559937,1.6066877841949463,0.01
8,0.16326530612244897,5,1.3055530786514282,1.5998601913452148,0.01
9,0.1875,5,1.5050442218780518,1.5962438583374023,0.01
10,0.21428571428571427,5,1.7186191082000732,1.599770188331604,0.01
11,0.16666666666666666,5,1.6193878650665283,1.2136987447738647,0.01
12,0.18604651162790697,5,1.6608728170394897,1.38878333568573,0.01
13,0.2,5,1.6511245965957642,1.5461277961730957,0.01
14,0.18,5,1.4389437437057495,1.6023317575454712,0.01
15,0.16326530612244897,5,1.314868688583374,1.5891728401184082,0.01
16,0.1836734693877551,5,1.4803378582000732,1.5903295278549194,0.005
17,0.14583333333333334,5,1.1681550741195679,1.5956354141235352,0.005
18,0.16666666666666666,5,1.3346625566482544,1.598667025566101,0.005
19,0.16326530612244897,5,1.3043873310089111,1.6017756462097168,0.005
20,0.20454545454545456,5,1.6352932453155518,1.6044528484344482,0.005
21,0.18181818181818182,5,1.4498032331466675,1.6064995527267456,0.005
22,0.1836734693877551,5,1.46357262134552,1.607708215713501,0.0025
23,0.19148936170212766,5,1.5261175632476807,1.6081273555755615,0.0025
24,0.18181818181818182,5,1.4482277631759644,1.608134388923645,0.0025
25,0.1836734693877551,5,1.463210105895996,1.608098030090332,0.0025
26,0.1276595744680851,5,1.0121092796325684,1.608054518699646,0.0025
27,0.17777777777777778,5,1.4158296585083008,1.6079862117767334,0.0025
28,0.1836734693877551,5,1.4633455276489258,1.6079494953155518,0.00125
29,0.1702127659574468,5,1.3549134731292725,1.6079542636871338,0.00125
30,0.1702127659574468,5,1.3548866510391235,1.6079816818237305,0.00125
31,0.18181818181818182,5,1.4483046531677246,1.6080409288406372,0.00125
32,0.225,5,1.795994520187378,1.608128309249878,0.00125
33,0.1956521739130435,5,1.5595201253890991,1.6082463264465332,0.00125
34,0.17647058823529413,5,1.4049347639083862,1.6083754301071167,0.00125
35,0.1836734693877551,5,1.4628180265426636,1.608503818511963,0.00125
36,0.18181818181818182,5,1.4477683305740356,1.608627200126648,0.00125
37,0.12244897959183673,5,0.9697057008743286,1.6087408065795898,0.00125
38,0.2,5,1.5939475297927856,1.6088359355926514,0.000625
39,0.17777777777777778,5,1.4149783849716187,1.6089228391647339,0.000625
40,0.14545454545454545,5,1.1547545194625854,1.6089637279510498,0.000625
41,0.125,5,0.9900797605514526,1.6090035438537598,0.000625
42,0.17777777777777778,5,1.4148736000061035,1.6090410947799683,0.000625
43,0.17391304347826086,5,1.3837321996688843,1.6090795993804932,0.000625
44,0.17391304347826086,5,1.3836983442306519,1.6091182231903076,0.0003125
45,0.17391304347826086,5,1.383664846420288,1.6091563701629639,0.0003125
46,0.17391304347826086,5,1.383648157119751,1.6091755628585815,0.0003125
47,0.16326530612244897,5,1.297933578491211,1.6091948747634888,0.0003125
48,0.1956521739130435,5,1.558577060699463,1.609214425086975,0.0003125
49,0.17391304347826086,5,1.383596420288086,1.609234094619751,0.0003125
50,0.20454545454545456,5,1.6301124095916748,1.6092535257339478,0.00015625
